id,title_id,provider_id
1_tm1004072,tm1004072,1
1_tm45629,tm45629,1
1_tm286249,tm286249,1
1_tm729705,tm729705,1
1_ts11397,ts11397,1
1_tm84586,tm84586,1
1_tm187432,tm187432,1
1_ts35004,ts35004,1
1_tm61,tm61,1
1_tm61365,tm61365,1
1_tm94203,tm94203,1
1_tm288352,tm288352,1
1_tm93546,tm93546,1
1_ts84329,ts84329,1
1_tm250307,tm250307,1
1_tm447744,tm447744,1
1_tm436114,tm436114,1
1_tm72712,tm72712,1
1_tm266716,tm266716,1
1_tm68905,tm68905,1
1_tm847725,tm847725,1
1_tm423940,tm423940,1
1_ts4882,ts4882,1
1_tm238904,tm238904,1
1_tm130044,tm130044,1
1_tm61521,tm61521,1
1_tm1106905,tm1106905,1
1_tm43914,tm43914,1
1_tm1035107,tm1035107,1
1_tm1032748,tm1032748,1
1_tm183889,tm183889,1
1_tm7033,tm7033,1
1_tm235580,tm235580,1
1_tm406402,tm406402,1
1_ts225406,ts225406,1
1_tm187962,tm187962,1
1_tm455118,tm455118,1
1_tm61336,tm61336,1
1_tm23434,tm23434,1
1_tm102101,tm102101,1
1_tm182227,tm182227,1
1_ts33559,ts33559,1
1_ts79302,ts79302,1
1_tm431186,tm431186,1
1_tm12212,tm12212,1
1_ts83794,ts83794,1
1_tm837044,tm837044,1
1_tm81891,tm81891,1
1_tm243159,tm243159,1
1_tm998239,tm998239,1
1_tm5043,tm5043,1
1_tm106060,tm106060,1
1_tm327302,tm327302,1
1_tm92594,tm92594,1
1_tm114541,tm114541,1
1_tm321625,tm321625,1
1_tm1090675,tm1090675,1
1_tm234240,tm234240,1
1_tm163786,tm163786,1
1_tm1047725,tm1047725,1
1_tm1040685,tm1040685,1
1_tm244786,tm244786,1
1_tm311911,tm311911,1
1_tm1102439,tm1102439,1
1_tm89670,tm89670,1
1_tm181475,tm181475,1
1_ts41145,ts41145,1
1_tm410254,tm410254,1
1_tm856120,tm856120,1
1_tm43312,tm43312,1
1_tm992829,tm992829,1
1_tm990374,tm990374,1
1_tm245247,tm245247,1
1_tm272040,tm272040,1
1_tm25242,tm25242,1
1_tm19461,tm19461,1
1_tm956559,tm956559,1
1_tm105330,tm105330,1
1_tm331952,tm331952,1
1_tm1036697,tm1036697,1
1_tm68948,tm68948,1
1_tm48336,tm48336,1
1_tm499724,tm499724,1
1_tm445129,tm445129,1
1_tm100783,tm100783,1
1_tm991672,tm991672,1
1_tm858351,tm858351,1
1_tm602733,tm602733,1
1_ts11084,ts11084,1
1_ts22096,ts22096,1
1_tm105802,tm105802,1
1_tm1032804,tm1032804,1
1_tm363787,tm363787,1
1_tm94651,tm94651,1
1_ts221671,ts221671,1
1_tm99598,tm99598,1
1_tm347358,tm347358,1
1_tm144274,tm144274,1
1_tm137676,tm137676,1
1_ts30257,ts30257,1
1_tm413796,tm413796,1
1_tm920102,tm920102,1
1_ts323477,ts323477,1
1_tm470805,tm470805,1
1_tm87340,tm87340,1
1_tm449197,tm449197,1
1_ts20535,ts20535,1
1_tm447091,tm447091,1
1_tm469332,tm469332,1
1_tm100070,tm100070,1
1_ts57447,ts57447,1
1_tm28189,tm28189,1
1_tm428305,tm428305,1
1_tm213701,tm213701,1
1_tm1062211,tm1062211,1
1_ts13686,ts13686,1
1_tm501479,tm501479,1
1_tm463085,tm463085,1
1_tm153748,tm153748,1
1_tm8505,tm8505,1
1_tm586405,tm586405,1
1_ts84286,ts84286,1
1_tm84294,tm84294,1
1_tm144515,tm144515,1
1_tm494841,tm494841,1
1_tm352316,tm352316,1
1_tm817513,tm817513,1
1_tm43553,tm43553,1
1_tm28828,tm28828,1
1_tm359100,tm359100,1
1_tm205450,tm205450,1
1_ts20444,ts20444,1
1_tm88469,tm88469,1
1_tm945432,tm945432,1
1_tm151385,tm151385,1
1_ts39160,ts39160,1
1_tm220473,tm220473,1
1_tm469091,tm469091,1
1_tm1000378,tm1000378,1
1_tm116752,tm116752,1
1_ts228560,ts228560,1
1_tm140052,tm140052,1
1_tm90219,tm90219,1
1_tm41819,tm41819,1
1_tm215307,tm215307,1
1_tm811012,tm811012,1
1_tm224841,tm224841,1
1_tm110218,tm110218,1
1_tm1002171,tm1002171,1
1_tm166563,tm166563,1
1_tm501312,tm501312,1
1_tm245069,tm245069,1
1_tm110888,tm110888,1
1_tm37884,tm37884,1
1_tm70423,tm70423,1
1_tm53284,tm53284,1
1_tm282441,tm282441,1
1_tm480230,tm480230,1
1_tm434938,tm434938,1
1_tm543964,tm543964,1
1_tm418114,tm418114,1
1_tm246227,tm246227,1
1_tm239779,tm239779,1
1_tm473707,tm473707,1
1_tm6395,tm6395,1
1_ts83621,ts83621,1
1_tm207552,tm207552,1
1_tm110158,tm110158,1
1_tm336860,tm336860,1
1_tm1066854,tm1066854,1
1_tm88330,tm88330,1
1_tm20440,tm20440,1
1_ts78981,ts78981,1
1_tm129810,tm129810,1
1_tm156679,tm156679,1
1_tm85128,tm85128,1
1_tm152209,tm152209,1
1_tm375708,tm375708,1
1_tm311499,tm311499,1
1_tm129378,tm129378,1
1_tm658984,tm658984,1
1_tm1023447,tm1023447,1
1_tm162585,tm162585,1
1_tm64736,tm64736,1
1_tm1117103,tm1117103,1
1_tm23459,tm23459,1
1_ts276796,ts276796,1
1_tm409614,tm409614,1
1_tm1127005,tm1127005,1
1_tm324310,tm324310,1
1_tm362088,tm362088,1
1_tm178740,tm178740,1
1_tm410876,tm410876,1
1_tm955145,tm955145,1
1_tm103921,tm103921,1
1_tm909589,tm909589,1
1_tm421696,tm421696,1
1_tm248956,tm248956,1
1_tm7180,tm7180,1
1_tm189439,tm189439,1
1_tm248660,tm248660,1
1_tm140496,tm140496,1
1_ts113028,ts113028,1
1_tm102580,tm102580,1
1_tm1168568,tm1168568,1
1_tm5168,tm5168,1
1_tm53257,tm53257,1
1_tm149634,tm149634,1
1_tm347911,tm347911,1
1_tm309343,tm309343,1
1_tm69878,tm69878,1
1_tm157063,tm157063,1
1_tm52411,tm52411,1
1_tm370253,tm370253,1
1_tm140856,tm140856,1
1_tm219755,tm219755,1
1_tm342996,tm342996,1
1_tm680019,tm680019,1
1_ts173081,ts173081,1
1_tm100065,tm100065,1
1_tm66273,tm66273,1
1_tm241988,tm241988,1
1_tm135961,tm135961,1
1_tm143299,tm143299,1
1_tm83465,tm83465,1
1_tm15954,tm15954,1
1_tm80754,tm80754,1
1_tm244541,tm244541,1
1_tm162346,tm162346,1
1_tm1124482,tm1124482,1
1_tm8540,tm8540,1
1_tm828253,tm828253,1
1_tm460058,tm460058,1
1_tm116335,tm116335,1
1_tm810340,tm810340,1
1_tm128662,tm128662,1
1_tm24687,tm24687,1
1_tm569865,tm569865,1
1_tm10223,tm10223,1
1_tm366562,tm366562,1
1_tm57911,tm57911,1
1_ts16832,ts16832,1
1_tm7806,tm7806,1
1_tm89643,tm89643,1
1_tm228982,tm228982,1
1_tm37424,tm37424,1
1_tm62652,tm62652,1
1_tm244379,tm244379,1
1_tm221521,tm221521,1
1_tm143843,tm143843,1
1_tm128035,tm128035,1
1_tm464420,tm464420,1
1_tm206809,tm206809,1
1_tm120237,tm120237,1
1_tm416466,tm416466,1
1_tm165535,tm165535,1
1_tm47374,tm47374,1
1_tm356699,tm356699,1
1_tm39398,tm39398,1
1_tm172988,tm172988,1
1_tm160444,tm160444,1
1_tm315843,tm315843,1
1_tm452025,tm452025,1
1_ts255098,ts255098,1
1_tm930338,tm930338,1
1_tm244223,tm244223,1
1_ts20961,ts20961,1
1_tm182949,tm182949,1
1_tm1106951,tm1106951,1
1_tm172075,tm172075,1
1_tm350788,tm350788,1
1_tm811786,tm811786,1
1_ts242693,ts242693,1
1_tm65871,tm65871,1
1_tm1019325,tm1019325,1
1_tm1079150,tm1079150,1
1_tm246482,tm246482,1
1_tm934218,tm934218,1
1_tm25454,tm25454,1
1_ts289350,ts289350,1
1_ts32636,ts32636,1
1_tm925064,tm925064,1
1_tm572455,tm572455,1
1_tm152720,tm152720,1
1_tm109160,tm109160,1
1_tm48450,tm48450,1
1_tm307791,tm307791,1
1_ts313594,ts313594,1
1_tm617311,tm617311,1
1_tm82509,tm82509,1
1_tm106873,tm106873,1
1_ts19073,ts19073,1
1_ts27730,ts27730,1
1_ts303282,ts303282,1
1_tm65500,tm65500,1
1_tm1044076,tm1044076,1
1_tm912304,tm912304,1
1_tm932564,tm932564,1
1_tm245683,tm245683,1
1_tm2602,tm2602,1
1_tm233403,tm233403,1
1_tm21758,tm21758,1
1_tm185479,tm185479,1
1_tm82656,tm82656,1
1_tm310775,tm310775,1
1_tm195743,tm195743,1
1_tm30181,tm30181,1
1_tm173116,tm173116,1
1_tm4764,tm4764,1
1_ts240003,ts240003,1
1_tm832083,tm832083,1
1_tm410542,tm410542,1
1_tm834682,tm834682,1
1_tm449387,tm449387,1
1_ts38010,ts38010,1
1_tm101860,tm101860,1
1_tm131767,tm131767,1
1_tm376243,tm376243,1
1_tm469165,tm469165,1
1_tm32743,tm32743,1
1_tm535024,tm535024,1
1_tm981372,tm981372,1
1_tm464360,tm464360,1
1_tm359693,tm359693,1
1_tm860740,tm860740,1
1_tm825396,tm825396,1
1_tm67155,tm67155,1
1_tm29497,tm29497,1
1_tm142662,tm142662,1
1_tm1043226,tm1043226,1
1_ts57262,ts57262,1
1_tm61820,tm61820,1
1_tm1059524,tm1059524,1
1_tm114461,tm114461,1
1_ts109710,ts109710,1
1_ts251446,ts251446,1
1_tm867639,tm867639,1
1_tm811121,tm811121,1
1_tm490348,tm490348,1
1_tm247364,tm247364,1
1_tm185648,tm185648,1
1_tm1036127,tm1036127,1
1_tm176924,tm176924,1
1_tm309049,tm309049,1
1_tm47897,tm47897,1
1_tm464331,tm464331,1
1_tm63423,tm63423,1
1_tm115656,tm115656,1
1_tm13006,tm13006,1
1_tm460997,tm460997,1
1_ts283113,ts283113,1
1_tm859118,tm859118,1
1_tm59531,tm59531,1
1_tm522499,tm522499,1
1_tm62233,tm62233,1
1_tm183517,tm183517,1
1_tm710149,tm710149,1
1_tm430962,tm430962,1
1_tm466591,tm466591,1
1_tm458502,tm458502,1
1_tm1037166,tm1037166,1
1_tm99134,tm99134,1
1_ts154229,ts154229,1
1_tm126766,tm126766,1
1_tm460159,tm460159,1
